monitorID,longitude,latitude,elevation,timezone,countryCode,stateCode,siteName,agencyName,countyName,msaName,monitorType,siteID,instrumentID,aqsID,pwfslID,pwfslDataIngestSource,telemetryAggregator,telemetryUnitID
120570112_01,-82.419835,27.779712,NA,America/New_York,US,FL,APOLLO BEACH,Hillsborough County - Tampa ,Hillsborough,NA,NA,120570112,01,120570112,NA,AIRNOW,NA,NA
261630033_01,-83.15,42.3075,390,America/Detroit,US,MI,DEARBORN,"Michigan Department of Environment, Great Lakes, and Energy",Wayne,"Detroit-Warren-Livonia, MI",NA,261630033,01,261630033,NA,AIRNOW,NA,NA
271230871_01,-93.0356,44.9594,NA,America/Chicago,US,MN,St. Paul-Harding H.S.,Minnesota Pollution Control Agency,Ramsey,"Minneapolis-St. Paul-Bloomington, MN-WI",NA,271230871,01,271230871,NA,AIRNOW,NA,NA
191390019_01,-91.0684,41.4014,NA,America/Chicago,US,IA,"Muscatine, High School East Campus",Iowa DNR,Muscatine,NA,NA,191390019,01,191390019,NA,AIRNOW,NA,NA
391530017_01,-81.468956,41.063526,NA,America/New_York,US,OH,East High School,Ohio EPA-DAPC,Summit,"Akron, OH",NA,391530017,01,391530017,NA,AIRNOW,NA,NA
420450002_01,-75.3725,39.8356,NA,America/New_York,US,PA,Chester,Pennsylvania Dept. of Environmental Protection,Delaware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,420450002,01,420450002,NA,AIRNOW,NA,NA
210670012_01,-84.5,38.065,NA,America/New_York,US,KY,NEWTWN,Kentucky DEP,Fayette,"Lexington-Fayette, KY",NA,210670012,01,210670012,NA,AIRNOW,NA,NA
450190049_01,-79.959,32.791,4,America/New_York,US,SC,Charleston Public Works,South Carolina DHEC,Charleston,"Charleston-North Charleston, SC",NA,450190049,01,450190049,NA,AIRNOW,NA,NA
060130002_01,-122.025,37.9383,NA,America/Los_Angeles,US,CA,Concord,San Francisco Bay Area AQMD,Contra Costa,"San Francisco-Oakland-Fremont, CA",NA,060130002,01,060130002,NA,AIRNOW,NA,NA
060250005_01,-115.48307,32.67618,NA,America/Los_Angeles,US,CA,Calexico - Ethel Street,California Air Resources Board,Imperial,"El Centro, CA",NA,060250005,01,060250005,NA,AIRNOW,NA,NA
060210003_01,-122.190834,39.53387,14,America/Los_Angeles,US,CA,Willows-Colusa,California Air Resources Board,Glenn,NA,NA,060210003,01,060210003,NA,AIRNOW,NA,NA
000020401_01,-62.5828,46.3864,15,America/Halifax,CA,PE,SOUTHAMPTON,Environment Canada,Prince Edward Island,NA,NA,000020401,01,000020401,NA,AIRNOW,NA,NA
000091301_01,-115.1906,53.37,NA,America/Edmonton,CA,AB,Tomahawk,Alberta Environmental Monitoring and Reporting Agency (AEMERA),Alberta,NA,NA,000091301,01,000091301,NA,AIRNOW,NA,NA
350011013_01,-106.603897,35.187801,1524,America/Denver,US,NM,North Valley,Albuquerque Environmental Health Department,Bernalillo,"Albuquerque, NM",NA,350011013,01,350011013,NA,AIRNOW,NA,NA
530330031_01,-122.148397,47.600863,92,America/Los_Angeles,US,WA,Bellevue-SE 12th,Washington Department of Ecology,King,NA,NA,530330031,01,530330031,NA,AIRNOW,NA,NA
840530330047_01,-122.2233,47.2814,32,America/Los_Angeles,US,WA,Auburn 29th St,Washington Department of Ecology,King,NA,NA,840530330047,01,840530330047,NA,AIRNOW,NA,NA
401091037_01,-97.472198,35.612801,NA,America/Chicago,US,OK,North OKC,Oklahoma Department of Environmental Quality,Oklahoma,"Oklahoma City, OK",NA,401091037,01,401091037,NA,AIRNOW,NA,NA
350490021_01,-106.0797,35.6198,1931,America/Denver,US,NM,Santa Fe Airport,New Mexico Air Quality Bureau,Santa Fe,"Santa Fe, NM",NA,350490021,01,350490021,NA,AIRNOW,NA,NA
080310027_01,-105.015313,39.732144,1589,America/Denver,US,CO,I25 Denver,Colorado Department of Public Health and Environment,Denver,"Denver-Aurora, CO",NA,080310027,01,080310027,NA,AIRNOW,NA,NA
390933002_01,-82.114261,41.463071,299,America/New_York,US,OH,Barr School,Ohio EPA-DAPC,Lorain,"Cleveland-Elyria-Mentor, OH",NA,390933002,01,390933002,NA,AIRNOW,NA,NA
840421310010_01,-75.95774,41.605244,NA,America/New_York,US,PA,Tunkhannock,Pennsylvania Dept. of Environmental Protection,Wyoming,NA,NA,840421310010,01,840421310010,NA,AIRNOW,NA,NA
191032001_01,-91.503471,41.658195,NA,America/Chicago,US,IA,"Iowa City, Hoover School",Iowa DNR,Johnson,"Iowa City, IA",NA,191032001,01,191032001,NA,AIRNOW,NA,NA
550270001_01,-88.621109,43.46611,286,America/Chicago,US,WI,Horicon Wildlife Area,Wisconsin Dept. of Natural Resources,Dodge,NA,NA,550270001,01,550270001,NA,AIRNOW,NA,NA
330090010_01,-72.309499,43.629605,178,America/New_York,US,NH,Lebanon,New Hampshire Dept. of Environmental Services,Grafton,"Lebanon, NH-VT",NA,330090010,01,330090010,NA,AIRNOW,NA,NA
550630012_01,-91.225,43.7781,210,America/Chicago,US,WI,LACROSSE DOT,Wisconsin Dept. of Natural Resources,La Crosse,"La Crosse, WI-MN",NA,550630012,01,550630012,NA,AIRNOW,NA,NA
530251002_01,-119.2726,47.1303,99,America/Los_Angeles,US,WA,Moses Lake-Balsam St,Washington Department of Ecology,Grant,"Moses Lake, WA",NA,530251002,01,530251002,NA,AIRNOW,NA,NA
380650002_01,-101.4281,47.1858,697,America/North_Dakota/Center,US,ND,Hannover,North Dakota Department of Health,Oliver,NA,NA,380650002,01,380650002,NA,AIRNOW,NA,NA
410650007_01,-121.203387,45.602419,86,America/Los_Angeles,US,OR,The Dalles - Cherry Heights,Oregon Dept. of Environmental Quality,Wasco,"City of The Dalles, OR",NA,410650007,01,410650007,NA,AIRNOW,NA,NA
060570005_01,-121.055603,39.234402,NA,America/Los_Angeles,US,CA,Grass Valley,Northern Sierra AQMD,Nevada,"Truckee-Grass Valley, CA",NA,060570005,01,060570005,NA,AIRNOW,NA,NA
271713201_01,-93.6686,45.2108,NA,America/Chicago,US,MN,St. Michael,Minnesota Pollution Control Agency,Wright,"Minneapolis-St. Paul-Bloomington, MN-WI",NA,271713201,01,271713201,NA,AIRNOW,NA,NA
090031003_01,-72.6297,41.7847,15,America/New_York,US,CT,East Hartford,Connecticut Dept. of Energy and Environmental Protection,Hartford,"Hartford-West Hartford-East Hartford, CT",NA,090031003,01,090031003,NA,AIRNOW,NA,NA
090010010_01,-73.195297,41.171398,7,America/New_York,US,CT,Bridgeport,Connecticut Dept. of Energy and Environmental Protection,Fairfield,"Bridgeport-Stamford-Norwalk, CT",NA,090010010,01,090010010,NA,AIRNOW,NA,NA
090090027_01,-72.902685,41.301288,NA,America/New_York,US,CT,New Haven - Criscuolo Park,Connecticut Dept. of Energy and Environmental Protection,New Haven,"New Haven-Milford, CT",NA,090090027,01,090090027,NA,AIRNOW,NA,NA
220630002_01,-90.8114,30.315,NA,America/Chicago,US,LA,French Settlement,Louisiana Department of Environmental Quality,Livingston,"Baton Rouge, LA",NA,220630002,01,220630002,NA,AIRNOW,NA,NA
410350004_01,-121.731369,42.190296,1244,America/Los_Angeles,US,OR,Klamath Falls - Peterson School,Oregon Dept. of Environmental Quality,Klamath,"Klamath Falls, OR",NA,410350004,01,410350004,NA,AIRNOW,NA,NA
840172010118_01,-89.08917,42.267002,NA,America/Chicago,US,IL,Rockford,Illinois EPA,Winnebago,"Rockford, IL",NA,840172010118,01,840172010118,NA,AIRNOW,NA,NA
261630099_01,-83.129431,42.295824,NA,America/Detroit,US,MI,TRINITY (GHIB),"Michigan Department of Environment, Great Lakes, and Energy",Wayne,"Detroit-Warren-Livonia, MI",NA,261630099,01,261630099,NA,AIRNOW,NA,NA
250154002_01,-72.334396,42.298302,NA,America/New_York,US,MA,WARE,Massachusetts Dept. of Environmental Protection,Hampshire,"Springfield, MA",NA,250154002,01,250154002,NA,AIRNOW,NA,NA
000060204_01,-83.0433,42.3144,NA,America/Detroit,CA,ON,Windsor Downtown,Ontario Ministry of the Environment,Ontario,NA,NA,000060204,01,000060204,NA,AIRNOW,NA,NA
840250251004_01,-71.026111,42.387222,NA,America/New_York,US,MA,Chelsea HP,Massachusetts Dept. of Environmental Protection,Suffolk,NA,NA,840250251004,01,840250251004,NA,AIRNOW,NA,NA
550410007_01,-88.81,45.5639,NA,America/Chicago,US,WI,POTAWATOMI,Wisconsin Dept. of Natural Resources,Forest,NA,NA,550410007,01,550410007,NA,AIRNOW,NA,NA
000030310_01,-60.1728,46.1425,40,America/Glace_Bay,CA,NS,SYDNEY,Environment Canada,Nova Scotia,NA,NA,000030310,01,000030310,NA,AIRNOW,NA,NA
000091901_01,-114.7,51.95,NA,America/Edmonton,CA,AB,Caroline,Alberta Environmental Monitoring and Reporting Agency (AEMERA),Alberta,NA,NA,000091901,01,000091901,NA,AIRNOW,NA,NA
260770008_01,-85.5419,42.2781,390,America/Detroit,US,MI,KALAMAZOO,"Michigan Department of Environment, Great Lakes, and Energy",Kalamazoo,"Kalamazoo-Portage, MI",NA,260770008,01,260770008,NA,AIRNOW,NA,NA
270834210_01,-95.835,44.4572,NA,America/Chicago,US,MN,Marshall,Minnesota Pollution Control Agency,Lyon,"Marshall, MN",NA,270834210,01,270834210,NA,AIRNOW,NA,NA
121275002_01,-81.0531,29.2069,NA,America/New_York,US,FL,Blind Services; 1185-A Dunn Ave,Florida Dept. of Environmental Protection,Volusia,"Deltona-Daytona Beach-Ormond Beach, FL",NA,121275002,01,121275002,NA,AIRNOW,NA,NA
370630015_01,-78.904037,36.032955,118,America/New_York,US,NC,Durham Armory,North Carolina DEQ - Division of Air Quality,Durham,"Durham, NC",NA,370630015,01,370630015,NA,AIRNOW,NA,NA
100051002_01,-75.6131,38.6444,NA,America/New_York,US,DE,SEAFORD,Delaware Dept. of Natural Resources and Environment,Sussex,"Seaford, DE",NA,100051002,01,100051002,NA,AIRNOW,NA,NA
840420750101_01,-76.394788,40.338516,44,America/New_York,US,PA,Lebanon,Pennsylvania Dept. of Environmental Protection,Lebanon,NA,NA,840420750101,01,840420750101,NA,AIRNOW,NA,NA
80011G013_01,-101.20485,20.558153,500,America/Mexico_City,MX,GJ,Estación DIF,Secretaría de Medio Ambiente y Ordenamiento Territorial,Guanajuato,NA,NA,80011G013,01,80011G013,NA,AIRNOW,NA,NA
470931013_01,-83.9306,35.9803,NA,America/New_York,US,TN,AIR LAB,Knox County Dept. of Air Quality Management ,Knox,"Knoxville, TN",NA,470931013,01,470931013,NA,AIRNOW,NA,NA
484530014_01,-97.760002,30.3542,256,America/Chicago,US,TX,Austin North Hills Drive C3,Texas Commission on Environmental Quality,Travis,"Austin-Round Rock, TX",NA,484530014,01,484530014,NA,AIRNOW,NA,NA
471450004_01,-84.5439,35.9386,NA,America/New_York,US,TN,Harriman,Tennessee Air Pollution Control Div.,Roane,"Harriman, TN",NA,471450004,01,471450004,NA,AIRNOW,NA,NA
350130022_01,-106.6828,31.7878,1281,America/Denver,US,NM,Santa Teresa,New Mexico Air Quality Bureau,Dona Ana,"Las Cruces, NM",NA,350130022,01,350130022,NA,AIRNOW,NA,NA
170314007_01,-87.8631,42.0603,NA,America/Chicago,US,IL,DESPLNS,Illinois EPA,Cook,"Chicago-Naperville-Joliet, IL-IN-WI",NA,170314007,01,170314007,NA,AIRNOW,NA,NA
